7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;GOAL
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;4;0;3;0;0;0;0;0;0;0;0
4;1;0;0;0;0;2;1;0;0;2;0.5;7
0;0;0;0;0;0;4;0.75;1;1;1;1;5
0;0;0;0;7;0.71;0;0;0;0;0;0;5
0;0;3;0.67;4;0.25;0;0;0;0;1;1;4
0;0;1;1;1;1;0;0;0;0;1;1;3
0;0;5;0.6;0;0;0;0;0;0;0;0;3
2;1;0;0;0;0;5;0.2;0;0;0;0;3
0;0;0;0;0;0;0;0;2;1;0;0;2
0;0;0;0;1;1;2;0.5;0;0;0;0;2
0;0;0;0;0;0;2;0.5;0;0;1;1;2
0;0;0;0;1;0;0;0;0;0;2;1;2
0;0;3;0.67;0;0;0;0;0;0;0;0;2
0;0;3;0.67;1;0;0;0;0;0;0;0;2
0;0;0;0;4;0.5;0;0;0;0;0;0;2
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;1;1;0;0;0;0;1;0;0;0;1
0;0;0;0;0;0;3;0.33;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;3;0;1;0;0;0;0;0;0
0;0;1;0;1;1;0;0;6;1;2;1;9
0;0;2;1;0;0;5;0.8;1;1;1;1;8
0;0;2;1;4;0.75;0;0;0;0;0;0;5
0;0;3;1;1;1;1;1;1;0;0;0;5
0;0;3;1;7;0.29;0;0;0;0;0;0;5
5;0.8;0;0;0;0;0;0;0;0;0;0;4
0;0;1;1;4;0.75;0;0;0;0;0;0;4
0;0;0;0;0;0;5;0.6;0;0;1;1;4
0;0;0;0;0;0;4;0.5;0;0;2;1;4
0;0;0;0;0;0;0;0;7;0.57;0;0;4
0;0;0;0;0;0;2;0.5;1;1;1;1;3
0;0;0;0;0;0;0;0;4;0.75;0;0;3
0;0;2;1;0;0;0;0;0;0;0;0;2
0;0;2;1;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;1;1;1;1;0;0;2
0;0;2;0.5;1;1;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;2;0.5;0;0;0;0;0;0;1
1;1;0;0;1;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;1;0;0;0;0;0;0
2;0;1;1;12;0.58;0;0;0;0;0;0;8
3;0.33;1;1;1;0;5;1;0;0;0;0;7
5;1;0;0;0;0;0;0;0;0;0;0;5
0;0;2;1;3;0.67;0;0;0;0;0;0;4
0;0;0;0;0;0;0;0;6;0.67;0;0;4
2;0.5;0;0;6;0.5;0;0;0;0;0;0;4
0;0;1;0;4;0.75;0;0;0;0;0;0;3
0;0;1;1;4;0.5;0;0;0;0;0;0;3
1;0;0;0;1;1;3;0.67;0;0;1;0;3
0;0;0;0;0;0;2;1;0;0;0;0;2
0;0;0;0;0;0;3;0.33;0;0;1;1;2
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;0;0;0;0;2;0.5;0;0;1
0;0;0;0;3;0.33;0;0;0;0;0;0;1
0;0;0;0;3;0.33;0;0;0;0;0;0;1
0;0;0;0;5;0.2;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;1;0;0;0;1;0;0;0;0;0;0
2;1;0;0;0;0;4;0.5;0;0;3;1;7
0;0;0;0;0;0;5;0.8;0;0;3;0.67;6
0;0;4;1;1;0;0;0;0;0;0;0;4
2;1;0;0;3;0.33;0;0;0;0;0;0;3
0;0;4;0.5;1;1;0;0;0;0;0;0;3
0;0;2;0.5;4;0.5;0;0;0;0;0;0;3
0;0;0;0;7;0.43;0;0;0;0;0;0;3
0;0;1;1;6;0.33;0;0;0;0;0;0;3
0;0;0;0;1;0;1;1;0;0;1;1;2
0;0;0;0;0;0;0;0;3;0.67;0;0;2
0;0;0;0;1;0;0;0;4;0.5;0;0;2
0;0;0;0;0;0;4;0.5;0;0;2;0;2
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;1;1;1;0;0;0;0;0;0;0;1
0;0;1;1;2;0;0;0;0;0;0;0;1
0;0;2;0.5;1;0;0;0;0;0;0;0;1
0;0;0;0;0;0;4;0.25;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;1;0;0;0;0
0;0;0;0;3;0;0;0;0;0;0;0;0
1;1;0;0;0;0;7;0.71;0;0;1;1;7
0;0;0;0;0;0;6;0.67;0;0;1;1;5
0;0;3;0.67;5;0.6;0;0;0;0;0;0;5
3;0.33;1;1;6;0.5;0;0;0;0;0;0;5
0;0;0;0;0;0;2;1;0;0;2;1;4
0;0;4;0.25;6;0.5;0;0;0;0;0;0;4
0;0;1;1;2;1;0;0;0;0;0;0;3
0;0;2;1;3;0.33;0;0;0;0;0;0;3
0;0;2;1;0;0;0;0;0;0;0;0;2
0;0;1;1;2;0.5;0;0;0;0;0;0;2
0;0;1;1;0;0;0;0;2;0.5;0;0;2
0;0;0;0;0;0;0;0;3;0.67;0;0;2
0;0;1;0;0;0;0;0;0;0;2;1;2
0;0;1;1;0;0;0;0;2;0;1;1;2
4;0.5;0;0;1;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;2;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;8;0.63;1;1;0;0;0;0;0;0;6
3;1;1;1;2;0.5;0;0;0;0;0;0;5
0;0;1;1;0;0;5;0.6;0;0;1;1;5
0;0;1;1;0;0;2;1;0;0;1;1;4
0;0;4;0.75;1;1;0;0;0;0;0;0;4
0;0;4;1;5;0;0;0;0;0;0;0;4
0;0;0;0;0;0;1;1;0;0;2;1;3
0;0;2;1;0;0;0;0;1;1;0;0;3
0;0;0;0;0;0;4;0.75;0;0;0;0;3
1;1;1;0;0;0;2;0;1;1;1;1;3
0;0;3;0.67;4;0.25;0;0;0;0;0;0;3
0;0;0;0;0;0;0;0;2;1;0;0;2
0;0;0;0;0;0;0;0;3;0.67;0;0;2
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;2;0.5;1;0;0;0;0;0;0;0;1
0;0;1;1;2;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0
5;1;2;1;0;0;1;1;1;1;0;0;9
5;1;0;0;0;0;2;1;0;0;1;1;8
0;0;1;0;0;0;0;0;7;0.71;1;1;6
0;0;5;0.8;1;1;0;0;0;0;0;0;5
0;0;0;0;0;0;0;0;6;0.83;0;0;5
0;0;8;0.63;0;0;0;0;0;0;0;0;5
0;0;2;1;2;1;0;0;0;0;0;0;4
0;0;1;0;4;0.75;0;0;0;0;0;0;3
0;0;0;0;0;0;1;1;0;0;1;1;2
0;0;2;0.5;2;0.5;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;1;1;1;0;0;0;0;0;0;0;1
0;0;2;0.5;1;0;0;0;0;0;0;0;1
0;0;2;0.5;4;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0
5;0.8;0;0;0;0;3;0.67;1;1;1;0;7
0;0;0;0;0;0;0;0;8;0.75;0;0;6
0;0;0;0;0;0;3;1;0;0;1;1;4
0;0;0;0;2;0.5;0;0;1;1;0;0;2
0;0;0;0;0;0;0;0;7;0.43;1;1;4
0;0;8;0.5;0;0;0;0;0;0;0;0;4
0;0;4;0.25;6;0.5;0;0;0;0;0;0;4
0;0;2;0.5;3;0.67;0;0;0;0;0;0;3
0;0;5;0.4;1;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;2;1;0;0;2
0;0;0;0;0;0;2;0.5;1;1;0;0;2
0;0;1;0;1;1;0;0;0;0;1;1;2
0;0;2;0.5;1;1;0;0;0;0;0;0;2
1;1;2;0.5;1;0;0;0;0;0;0;0;2
0;0;2;0.5;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;1;0;0;0;0;0;0;0;0
0;0;0;0;0;0;2;0;0;0;0;0;0
5;1;0;0;0;0;3;1;0;0;0;0;8
0;0;3;1;5;1;0;0;0;0;0;0;8
7;1;0;0;0;0;0;0;0;0;0;0;7
0;0;0;0;0;0;7;0.71;0;0;1;1;6
0;0;6;0.67;2;0.5;0;0;0;0;0;0;5
0;0;1;0;8;0.63;0;0;0;0;0;0;5
0;0;0;0;1;1;0;0;3;0.67;0;0;3
0;0;0;0;0;0;0;0;1;1;1;1;2
0;0;0;0;0;0;0;0;0;0;2;1;2
0;0;2;1;1;0;0;0;0;0;0;0;2
0;0;3;0.33;1;0;0;0;0;0;1;1;2
0;0;1;1;3;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1;1;0;0;1
0;0;0;0;0;0;2;0.5;0;0;0;0;1
0;0;1;0;0;0;0;0;1;1;0;0;1
0;0;1;1;2;0;0;0;0;0;0;0;1
0;0;2;0.5;2;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;1;0;0;0;0;0;0
3;1;1;1;4;0.75;1;0;0;0;0;0;7
0;0;0;0;0;0;8;0.63;0;0;1;1;6
4;0.5;2;0.5;0;0;6;0.17;0;0;2;1;6
0;0;0;0;0;0;5;0.8;0;0;1;1;5
0;0;2;0.5;4;0.75;0;0;1;1;0;0;5
1;0;0;0;0;0;3;1;0;0;0;0;3
2;0.5;1;1;0;0;0;0;0;0;1;1;3
0;0;1;0;4;0.75;0;0;0;0;0;0;3
0;0;0;0;0;0;0;0;2;1;0;0;2
0;0;1;0;0;0;0;0;2;1;0;0;2
2;0.5;0;0;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;2;0.5;0;0;1
0;0;1;1;1;0;0;0;0;0;0;0;1
0;0;2;0.5;1;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;2;0;0;0;0;0;0;0;0
0;0;2;0;1;0;0;0;0;0;0;0;0
0;0;1;0;2;0;0;0;0;0;0;0;0
0;0;3;0.67;8;0.75;0;0;0;0;1;1;9
0;0;0;0;0;0;5;1;0;0;2;1;7
0;0;1;1;0;0;0;0;3;1;1;1;5
3;0.67;2;1;1;0;0;0;1;1;0;0;5
0;0;2;1;5;0.4;0;0;0;0;1;1;5
0;0;4;1;0;0;0;0;0;0;0;0;4
4;1;0;0;0;0;0;0;0;0;0;0;4
0;0;4;1;1;0;0;0;0;0;0;0;4
3;0.33;2;1;0;0;4;0.25;0;0;0;0;4
0;0;0;0;0;0;0;0;4;0.75;0;0;3
0;0;0;0;0;0;1;1;0;0;1;1;2
0;0;0;0;0;0;3;0.67;0;0;0;0;2
0;0;0;0;0;0;0;0;2;0.5;1;1;2
0;0;1;1;2;0.5;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;1;1;2;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;9;0.67;0;0;0;0;0;0;0;0;6
4;1;1;0;0;0;5;0.4;0;0;1;0;6
0;0;4;1;2;0.5;0;0;0;0;0;0;5
0;0;1;1;7;0.57;0;0;0;0;0;0;5
1;0;0;0;0;0;6;0.67;0;0;0;0;4
0;0;2;1;7;0.14;0;0;0;0;1;1;4
3;1;0;0;0;0;0;0;0;0;0;0;3
0;0;0;0;0;0;0;0;5;0.6;0;0;3
1;0;0;0;0;0;5;0.6;0;0;0;0;3
0;0;6;0;0;0;0;0;0;0;4;0.75;3
0;0;3;0.67;1;0;0;0;0;0;0;0;2
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;2;0.5;0;0;0;0;1
0;0;2;0.5;2;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;3;0.67;8;0.38;0;0;0;0;0;0;7
6;0.83;0;0;0;0;1;1;0;0;0;0;6
0;0;0;0;0;0;0;0;3;1;2;1;5
3;1;2;0.5;5;0.2;0;0;0;0;0;0;5
0;0;0;0;0;0;4;1;0;0;0;0;4
0;0;0;0;0;0;0;0;3;1;1;1;4
0;0;1;1;0;0;1;1;0;0;2;1;4
0;0;1;1;2;1;0;0;0;0;0;0;3
0;0;3;1;0;0;0;0;0;0;0;0;3
0;0;0;0;0;0;4;0.75;0;0;1;0;3
0;0;0;0;5;0.4;0;0;0;0;0;0;2
0;0;2;0.5;3;0.33;0;0;0;0;0;0;2
0;0;5;0.4;1;0;0;0;0;0;0;0;2
0;0;4;0.25;5;0.2;0;0;0;0;0;0;2
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0
7;1;1;1;0;0;1;1;0;0;0;0;9
7;0.86;1;0;0;0;4;0.5;0;0;0;0;8
0;0;0;0;0;0;4;0.75;1;1;2;1;6
0;0;1;1;0;0;0;0;5;0.6;2;1;6
0;0;4;1;1;0;0;0;0;0;1;1;5
0;0;5;0.8;0;0;0;0;0;0;1;0;4
0;0;0;0;0;0;0;0;4;0.75;0;0;3
0;0;5;0.6;1;0;0;0;0;0;0;0;3
0;0;1;1;1;1;0;0;0;0;0;0;2
0;0;0;0;0;0;1;1;0;0;1;1;2
0;0;0;0;5;0.4;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;2;0.5;0;0;0;0;0;0;0;0;1
0;0;2;0.5;1;0;0;0;0;0;0;0;1
0;0;3;0.33;0;0;0;0;0;0;0;0;1
0;0;2;0.5;2;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;0;0;2;0;0;0;0;0;0;0;0
5;0.8;0;0;0;0;3;0.33;1;1;0;0;6
0;0;4;0.5;3;1;0;0;1;0;0;0;5
0;0;2;1;8;0.25;0;0;0;0;1;1;5
0;0;3;1;1;1;0;0;0;0;0;0;4
0;0;0;0;0;0;3;0.67;0;0;2;1;4
0;0;0;0;0;0;0;0;3;1;0;0;3
0;0;2;1;2;0;0;0;0;0;1;1;3
1;1;1;0;0;0;2;0.5;0;0;3;0.33;3
0;0;3;0;7;0.43;0;0;0;0;0;0;3
0;0;0;0;0;0;1;1;0;0;1;1;2
0;0;0;0;0;0;0;0;2;0.5;0;0;1
0;0;2;1;2;0;0;0;0;0;0;0;2
0;0;0;0;4;0.5;0;0;0;0;0;0;2
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;0;0;2;0.5;0;0;0;0;1
0;0;2;0.5;0;0;0;0;0;0;0;0;1
0;0;2;0.5;1;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;1;0;0;0;0
0;0;1;1;7;0.71;0;0;0;0;0;0;6
6;0.67;0;0;1;0;1;1;0;0;1;1;6
5;0.8;0;0;0;0;0;0;0;0;0;0;4
0;0;0;0;0;0;3;0.67;0;0;2;1;4
0;0;4;0.75;4;0.25;0;0;0;0;0;0;4
0;0;0;0;0;0;0;0;3;1;0;0;3
0;0;0;0;0;0;2;1;0;0;1;1;3
0;0;0;0;0;0;0;0;4;0.75;0;0;3
0;0;0;0;2;1;0;0;0;0;0;0;2
0;0;1;1;1;1;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;2;0.5;1;1;2
0;0;0;0;0;0;1;1;0;0;3;0.33;2
0;0;0;0;0;0;4;0.5;0;0;0;0;2
0;0;3;0.67;2;0;0;0;0;0;0;0;2
0;0;3;0.67;2;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;1;0;0;0;0;0;2;0.5;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;1;0;1;0;0
4;1;0;0;0;0;2;1;1;1;1;1;8
0;0;4;1;4;0.5;0;0;0;0;0;0;6
0;0;0;0;0;0;0;0;4;1;1;1;5
0;0;1;1;0;0;3;1;0;0;0;0;4
0;0;2;1;2;1;0;0;0;0;0;0;4
0;0;0;0;1;0;4;0.75;0;0;2;1;5
0;0;0;0;7;0.71;0;0;0;0;1;0;5
0;0;3;0.67;7;0.43;0;0;0;0;0;0;5
0;0;1;0;1;0;0;0;3;1;0;0;3
3;0.67;1;1;1;0;0;0;1;0;0;0;3
0;0;0;0;4;0.5;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;3;0.67;1;0;2
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;0;0;0;0;2;0.5;0;0;0;0;1
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;1;0;5;0.2;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;2;0;0;0;0;0;0;0;0
2;1;2;0.5;3;0.33;0;0;0;0;1;1;5
0;0;5;0.8;3;0.33;0;0;0;0;1;0;5
0;0;0;0;0;0;1;1;1;1;3;0.67;4
0;0;0;0;4;0.75;0;0;1;1;0;0;4
0;0;0;0;0;0;3;0.67;0;0;1;1;3
0;0;3;0.67;5;0.2;0;0;0;0;0;0;3
0;0;0;0;0;0;0;0;2;1;0;0;2
0;0;0;0;0;0;0;0;3;0.67;0;0;2
4;0.5;0;0;0;0;0;0;0;0;0;0;2
0;0;2;0.5;2;0.5;0;0;0;0;0;0;2
0;0;0;0;4;0.5;0;0;1;0;0;0;2
0;0;2;0.5;3;0.33;0;0;0;0;0;0;2
0;0;0;0;0;0;3;0.33;2;0.5;1;0;2
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;1;1;0;0;0;0;1
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;0;0;3;0;0;0;1;0;1;1;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;6;0.83;4;0.75;0;0;0;0;1;1;9
3;1;4;0.75;2;1;0;0;0;0;0;0;8
0;0;0;0;0;0;6;0.67;0;0;2;0.5;5
0;0;3;0.33;4;0.75;0;0;0;0;1;1;5
0;0;0;0;0;0;4;1;0;0;0;0;4
1;1;3;0.67;2;0.5;0;0;0;0;0;0;4
0;0;0;0;0;0;6;0.5;0;0;1;1;4
0;0;3;1;3;0;0;0;0;0;0;0;3
0;0;0;0;0;0;0;0;3;0.67;0;0;2
0;0;0;0;0;0;3;0.67;0;0;0;0;2
0;0;5;0.4;0;0;0;0;0;0;0;0;2
0;0;2;0.5;5;0.2;0;0;0;0;0;0;2
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;1;1;0;0;1
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
6;1;4;1;10;0.4;0;0;0;0;1;1;15
0;0;0;0;0;0;6;1;1;1;1;1;8
3;1;1;0;0;0;2;0.5;0;0;4;0.75;7
0;0;6;1;6;0.17;0;0;0;0;0;0;7
0;0;0;0;0;0;0;0;3;1;0;0;3
0;0;0;0;0;0;0;0;2;1;2;1;4
0;0;1;1;2;1;0;0;0;0;0;0;3
0;0;3;0.67;0;0;0;0;0;0;1;1;3
0;0;5;0.6;0;0;0;0;0;0;0;0;3
0;0;2;0;0;0;3;0.67;0;0;1;1;3
0;0;3;0.67;3;0.33;0;0;0;0;0;0;3
0;0;1;1;1;1;0;0;0;0;0;0;2
0;0;2;0.5;2;0;0;0;0;0;1;1;2
0;0;0;0;0;0;0;0;0;0;1;1;1
0;0;0;0;0;0;1;1;0;0;1;0;1
